,X,Y
0,210.75,262.0
1,319.5,465.75
2,126.0,345.25
3,241.0,351.0
4,301.5,293.0
5,109.5,337.5
6,259.5,349.0
7,193.5,164.0
8,290.5,285.0
9,244.0,310.5
10,253.0,388.0
11,299.0,232.0
12,218.0,241.0
13,268.5,157.0
14,332.5,298.5
15,329.0,307.0
16,241.0,392.5
17,208.5,470.5
18,183.0,173.0
19,148.0,106.0
20,327.0,287.0
21,331.0,277.0
22,272.0,322.0
23,282.0,164.0
24,261.0,310.0
25,187.0,273.0
26,273.0,348.0
27,284.0,225.0
28,218.0,302.0
29,273.0,297.0
30,173.0,164.0
31,270.0,359.0
32,238.0,278.0
33,250.0,378.0
34,232.0,470.0
35,177.0,336.0
36,259.0,364.0
37,202.0,285.0
38,261.0,289.0
39,361.0,462.0
40,283.0,211.0
41,178.0,234.0
42,331.0,191.0
43,132.0,388.0
44,152.0,125.0
