,X,Y
0,210.75,104.5
1,108.25,208.75
2,255.0,114.25
3,102.0,217.75
4,260.75,125.5
5,154.75,235.75
6,160.25,256.5
7,164.5,298.75
8,179.0,228.0
9,160.0,281.0
10,334.0,205.0
11,198.0,240.0
12,297.0,268.5
13,167.5,307.5
14,182.5,355.0
15,190.0,267.0
16,187.0,337.5
17,168.5,263.0
18,179.5,402.5
19,159.0,269.0
20,283.5,178.0
21,230.0,112.0
22,211.0,229.0
23,253.0,177.0
24,97.0,202.0
25,123.0,208.0
26,136.5,81.0
27,281.0,164.0
28,176.0,261.0
29,343.0,196.0
30,226.5,107.0
31,200.0,225.0
32,228.0,228.0
33,309.0,202.0
34,142.0,218.0
