,X,Y
0,406.25,251.75
1,171.25,301.75
2,112.75,226.5
3,17.0,224.5
4,18.75,206.0
5,116.5,251.75
6,28.25,235.5
7,87.5,248.25
8,154.75,294.0
9,57.0,235.0
10,220.5,212.5
11,109.5,263.5
12,197.0,205.5
13,91.0,220.0
14,232.0,213.0
15,136.5,258.0
16,137.0,237.5
17,448.0,299.0
18,381.5,282.0
19,458.0,227.0
20,119.0,217.5
21,76.0,207.5
22,103.0,264.0
23,216.0,220.5
24,190.0,207.5
25,395.5,239.0
26,236.0,307.0
27,177.0,260.0
28,216.0,292.0
29,448.0,223.0
30,454.0,278.0
31,425.0,227.0
32,66.0,228.0
33,396.0,262.0
34,338.0,308.0
