,X,Y
0,195.75,295.5
1,42.0,231.75
2,168.75,213.0
3,207.5,309.5
4,144.0,235.75
5,154.5,268.25
6,101.0,245.25
7,486.75,251.25
8,441.75,196.5
9,428.0,287.0
10,30.5,264.0
11,464.25,260.0
12,315.25,233.5
13,196.75,318.75
14,457.25,278.0
15,267.0,232.0
16,39.0,255.5
17,121.5,269.5
18,374.0,273.5
19,439.0,201.0
20,51.5,252.0
21,482.5,252.5
22,102.5,269.0
23,67.0,251.0
24,183.0,314.5
25,175.0,270.0
26,407.5,278.5
27,468.0,199.0
28,392.5,296.0
29,24.5,232.0
30,180.5,304.0
31,110.0,237.0
32,343.0,231.0
33,109.5,281.0
34,378.0,235.0
35,323.0,301.5
36,194.0,282.0
37,480.0,231.5
38,95.5,235.0
39,190.0,220.5
40,331.5,230.5
41,92.0,268.0
42,76.5,226.0
43,440.0,279.0
44,213.5,231.0
45,221.5,297.0
46,235.5,223.0
47,341.0,297.0
48,450.5,270.0
49,264.5,306.5
50,253.0,231.5
51,390.0,281.0
52,116.5,244.0
53,140.0,253.0
54,81.0,228.5
55,401.5,256.5
56,404.0,292.5
57,391.5,243.0
58,416.0,283.0
59,85.5,266.0
60,468.5,231.0
61,284.0,223.0
62,403.0,209.0
63,400.0,238.0
64,441.0,256.0
65,202.0,219.0
66,394.0,216.0
67,424.0,260.0
68,312.0,280.0
69,52.0,224.0
70,384.0,224.0
71,87.0,243.0
72,236.0,246.0
73,278.0,299.0
74,91.0,254.0
75,410.0,244.0
76,188.0,272.0
